color,Amp,method,ra_in,dec_in,H0_fit,delta_H0_fit,ra_fit,dec_fit
red,5,clustering,-135.0,-52.0,71.61054095674724,-5.456412437463239,0.7283237032389012,0.9284285181450095
red,5,clustering,-135.0,-52.0,71.53657061074257,-5.2350494286674945,0.7463538031748242,0.9226873750999324
red,5,clustering,-135.0,-52.0,71.55609250191951,-5.339994048594453,0.6415597488246503,0.9340638730199051
blue,3,clustering,270.0,-29.999999999999996,70.65394102811489,-2.918436990027192,1.4497807803428193,0.6718947855075169
blue,3,clustering,270.0,-29.999999999999996,70.4937886343192,-2.7760733413889978,1.4852480472971805,0.546864694944969
blue,3,clustering,270.0,-29.999999999999996,70.49401248407091,2.877955031895849,-1.5593341676543344,-0.5236345859419771
blue,3,clustering,270.0,-29.999999999999996,70.37532228331743,2.612042529412951,-1.520989298543627,-0.4704801490096936
blue,3,clustering,270.0,-29.999999999999996,70.52192539650414,3.13681453218236,-1.57726890020834,-0.5326333692724435
blue,3,clustering,270.0,-29.999999999999996,70.53460314403549,-3.2523960395267655,1.4660769593636602,0.5795032425920315
blue,3,clustering,270.0,-29.999999999999996,70.49100968919554,-2.7847511688340405,1.5305089110109733,0.49935742327131627
blue,3,clustering,270.0,-29.999999999999996,70.61430794899007,-3.1537812042204934,1.4765117431040478,0.6018724278072554
blue,3,clustering,270.0,-29.999999999999996,70.55461464918497,-3.0679080983889824,1.5071335514472084,0.5940458463579119
blue,3,clustering,270.0,-29.999999999999996,70.62078775731837,-3.045204096011873,1.4129544837201167,0.6764165822222984
green,3,clustering,59.99999999999999,-60.00000000000001,71.27388278572379,3.360622310334213,1.2944865163283383,-1.0428613088331493
green,3,clustering,59.99999999999999,-60.00000000000001,71.1479961873287,3.0829310516943593,1.2171417604837664,-1.0279225382390031
green,3,clustering,59.99999999999999,-60.00000000000001,71.10767457971009,2.9884642423138867,1.0352261841172679,-1.0186428284334739
green,3,clustering,59.99999999999999,-60.00000000000001,71.00460642005626,2.936618422224902,1.0434339895705367,-0.9240491208283846
green,3,clustering,59.99999999999999,-60.00000000000001,71.10139828898971,3.0516625570831115,1.0273518417598821,-1.1162330376556167
green,3,clustering,59.99999999999999,-60.00000000000001,71.31014030787246,3.2713399726626102,1.1797049375587083,-1.168868822701962
green,3,clustering,59.99999999999999,-60.00000000000001,71.0123920331203,2.8703693296106128,1.094565442666857,-0.9848392526403257
green,3,clustering,59.99999999999999,-60.00000000000001,71.34404680875522,3.481130854547349,1.227771893680132,-1.1583995882348435
green,3,clustering,59.99999999999999,-60.00000000000001,71.28553448669119,3.3133228786580227,1.1100008043777738,-1.1312522158228178
green,3,clustering,59.99999999999999,-60.00000000000001,71.33146809921055,3.421227008779075,1.295117145589406,-1.0857155875231161
c,3,clustering,36.0,45.0,69.43713081741889,2.616482524390816,0.8256111488368283,0.6992382749865733
c,3,clustering,36.0,45.0,69.29749727891813,2.807130043328745,0.7857739767604109,0.7890454374613293
c,3,clustering,36.0,45.0,69.25479095701297,2.858429738623324,0.639350353527101,0.7801013300002164
c,3,clustering,36.0,45.0,69.18793731670941,3.1873440045408916,0.6822844465882707,0.793989066138471
c,3,clustering,36.0,45.0,69.3562470580727,2.6866335578087237,0.5703196253694505,0.7936904126849986
c,3,clustering,36.0,45.0,69.46505680934773,2.387415776338108,0.6541848384521788,0.7511274631544609
c,3,clustering,36.0,45.0,69.20498058856263,2.8408749927408827,0.6939212866230005,0.8202180792895841
c,3,clustering,36.0,45.0,69.46501550937586,2.4101760460783885,0.7145186505143202,0.716940088602712
c,3,clustering,36.0,45.0,69.370797361037,2.6689403183876275,0.6612413226624936,0.7381010068070033
c,3,clustering,36.0,45.0,69.49213559058069,2.4899304795175734,0.8021301241508065,0.6946973866848389
y,3,clustering,108.0,-330.0,69.63170034174432,-3.107078198618649,-1.1722581290558147,-0.3625066404856818
y,3,clustering,108.0,-330.0,69.51160586960556,-3.1289398218289874,-1.190064688421127,-0.46268294308546476
y,3,clustering,108.0,-330.0,69.42849160518266,-2.965643029204928,-1.2553886244024886,-0.5481963223490769
y,3,clustering,108.0,-330.0,69.4616197931216,-3.196494456790052,-1.3094774049473021,-0.5580759273237171
y,3,clustering,108.0,-330.0,69.56265613056756,-2.7160095063432452,-1.202411834441773,-0.517131635027576
y,3,clustering,108.0,-330.0,69.70409234622723,-2.7020527903055482,-1.1299171834840458,-0.37748760566082024
y,3,clustering,108.0,-330.0,69.42782001750685,-3.0960448115562325,-1.2191765619123094,-0.5347851724365564
y,3,clustering,108.0,-330.0,69.68946697787926,-2.7409035043663117,-1.1296740086451655,-0.33010871056819197
y,3,clustering,108.0,-330.0,69.66353687927369,-2.7858509686490662,-1.2035469615002476,-0.43167141787061075
y,3,clustering,108.0,-330.0,69.71889430467415,-2.979964266955587,-1.1659865758730448,-0.3650403178355994
m,3,clustering,252.0,45.0,69.18211631701756,-2.627024598788623,1.0436368981125437,-0.7495336829908537
m,3,clustering,252.0,45.0,69.07492906043515,-2.8658210130571797,1.1017889323122516,-0.8097199468414835
m,3,clustering,252.0,45.0,69.04367888844526,-2.9736832246406535,1.2429819222193943,-0.8309159591563107
m,3,clustering,252.0,45.0,69.0150655226217,-2.9730783150356404,1.253399634461673,-0.9111072751544423
m,3,clustering,252.0,45.0,69.18219445496703,-2.970329506716693,1.2526949511278511,-0.7274573989596803
